"site","year","sp","ab"
690,1998,"Eleutherodactylus_caryophyllaceus",27
690,1998,"Eleutherodactylus_caryophyllaceus",27
690,1998,"Colostethus_nubicola",1
690,1998,"Colostethus_nubicola",1
690,1998,"Hyla_debilis",1
690,1998,"Hyla_debilis",1
690,1998,"Hyla_lancasteri",1
690,1998,"Hyla_lancasteri",1
690,1998,"Hyla_picadoi",1
690,1998,"Hyla_picadoi",1
690,1998,"Eleutherodactylus_cruentus",11
690,1998,"Eleutherodactylus_cruentus",11
690,1998,"Eleutherodactylus_diastema",4
690,1998,"Eleutherodactylus_diastema",4
690,1998,"Eleutherodactylus_crassidigitus",2
690,1998,"Eleutherodactylus_crassidigitus",2
690,1998,"Eleutherodactylus_emcelae",1
690,1998,"Eleutherodactylus_emcelae",1
690,1998,"Dendrobates_speciosus",2
690,1998,"Dendrobates_speciosus",2
690,1998,"Eleutherodactylus_fitzingeri",1
690,1998,"Eleutherodactylus_fitzingeri",1
690,1998,"Centrolene_prosoblepon",3
690,1998,"Centrolene_prosoblepon",3
690,1998,"Hyalinobatrachium_vireovittatum",3
690,1998,"Hyalinobatrachium_vireovittatum",3
690,1998,"Agalychnis_spurelli",3
